label,category
"CP001071.1 Akkermansia muciniphila ATCC BAA-835, complete genome",solo
"NC_009665.1 Shewanella baltica OS185, complete genome",shew
"NC_010730.1 Sulfurihydrogenibium sp. YO3AOP1, complete genome",sulfur
"NZ_ABZS01000228.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_18, whole genome shotgun sequence",sulfur
"CP000916.1 Thermotoga neapolitana DSM 4359, complete genome",thermo
"CP000702.1 Thermotoga petrophila RKU-1, complete genome",thermo
"CP000969.1 Thermotoga sp. RQ2, complete genome",thermo
"NZ_CH959311.1 Sulfitobacter sp. EE-36 scf_1099451318005, whole genome shotgun sequence",sulfito
"NZ_CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472, whole genome shotgun sequence",sulfito
"NC_011663.1 Shewanella baltica OS223, complete genome",shew
